"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
23 1.7972681524 1.7972681524 1.7972681524 1.7972681524
24 1.8477457502 1.8477457502 1.8477457502 1.8477457502
27 1.9731649566 1.9731649566 1.9731649566 1.9731649566
42 2.1097046414 2.1097046414 2.1097046414 2.1097046414
51 2.1720243267 2.1720243267 2.1720243267 2.1720243267
64 2.2789425706 2.2789425706 2.2789425706 2.2789425706
85 2.3169601483 2.3169601483 2.3169601483 2.3169601483
96 2.3562676720 2.3562676720 2.3562676720 2.3562676720
158 2.4437927664 2.4437927664 2.4437927664 2.4437927664
167 2.7624309392 2.7624309392 2.7624309392 2.7624309392
190 2.9940119760 2.9940119760 2.9940119760 2.9940119760
266 3.0902348578 3.0902348578 3.0902348578 3.0902348578
292 3.1766200762 3.1766200762 3.1766200762 3.1766200762
681 3.2175032175 3.2175032175 3.2175032175 3.2175032175
808 3.2425421530 3.2425421530 3.2425421530 3.2425421530
100001 2.4485798237 3.2425421530 2.4485798237 3.2425421530
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.1165698973 1.1165698973 1.1165698973 1.1165698973
3 1.1590171535 1.1590171535 1.1590171535 1.1590171535
5 1.1865211201 1.1865211201 1.1865211201 1.1865211201
6 1.1944577162 1.1944577162 1.1944577162 1.1944577162
7 1.2260912212 1.2260912212 1.2260912212 1.2260912212
11 1.3290802764 1.3290802764 1.3290802764 1.3290802764
12 1.4116318464 1.4116318464 1.4116318464 1.4116318464
13 1.4492753623 1.4492753623 1.4492753623 1.4492753623
17 1.4509576320 1.4509576320 1.4509576320 1.4509576320
18 1.5160703457 1.5160703457 1.5160703457 1.5160703457
21 1.6329196604 1.6329196604 1.6329196604 1.6329196604
24 1.8050541516 1.8050541516 1.8050541516 1.8050541516
27 1.8395879323 1.8395879323 1.8395879323 1.8395879323
32 1.8642803878 1.8642803878 1.8642803878 1.8642803878
33 1.9794140934 1.9794140934 1.9794140934 1.9794140934
37 1.9952114924 1.9952114924 1.9952114924 1.9952114924
39 1.9984012790 1.9984012790 1.9984012790 1.9984012790
43 2.0408163265 2.0408163265 2.0408163265 2.0408163265
51 2.0712510356 2.0712510356 2.0712510356 2.0712510356
53 2.2624434389 2.2624434389 2.2624434389 2.2624434389
56 2.3786869648 2.3786869648 2.3786869648 2.3786869648
63 2.4777006938 2.4777006938 2.4777006938 2.4777006938
74 2.7203482046 2.7203482046 2.7203482046 2.7203482046
112 2.8901734104 2.8901734104 2.8901734104 2.8901734104
137 2.9515938607 2.9515938607 2.9515938607 2.9515938607
165 3.0012004802 3.0012004802 3.0012004802 3.0012004802
166 3.0826140567 3.0826140567 3.0826140567 3.0826140567
198 3.1685678074 3.1685678074 3.1685678074 3.1685678074
214 3.3288948069 3.3288948069 3.3288948069 3.3288948069
100001 2.9726516052 3.3288948069 2.9726516052 3.3288948069
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.9087604507 0.9087604507 0.9087604507 0.9087604507
