"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0000000000 1.0000000000 1.0000000000 1.0000000000
178 5.0000000000 5.0000000000 5.0000000000 5.0000000000
229 6.0000000000 6.0000000000 6.0000000000 6.0000000000
266 7.0000000000 7.0000000000 7.0000000000 7.0000000000
314 12.0000000000 12.0000000000 12.0000000000 12.0000000000
315 13.0000000000 13.0000000000 13.0000000000 13.0000000000
403 14.0000000000 14.0000000000 14.0000000000 14.0000000000
408 17.0000000000 17.0000000000 17.0000000000 17.0000000000
754 19.0000000000 19.0000000000 19.0000000000 19.0000000000
756 22.0000000000 22.0000000000 22.0000000000 22.0000000000
1019 25.0000000000 25.0000000000 25.0000000000 25.0000000000
1057 31.0000000000 31.0000000000 31.0000000000 31.0000000000
1069 34.0000000000 34.0000000000 34.0000000000 34.0000000000
1319 36.0000000000 36.0000000000 36.0000000000 36.0000000000
1434 38.0000000000 38.0000000000 38.0000000000 38.0000000000
1652 39.0000000000 39.0000000000 39.0000000000 39.0000000000
1713 41.0000000000 41.0000000000 41.0000000000 41.0000000000
1833 43.0000000000 43.0000000000 43.0000000000 43.0000000000
1899 44.0000000000 44.0000000000 44.0000000000 44.0000000000
2132 45.0000000000 45.0000000000 45.0000000000 45.0000000000
2483 47.0000000000 47.0000000000 47.0000000000 47.0000000000
2615 50.0000000000 50.0000000000 50.0000000000 50.0000000000
2677 52.0000000000 52.0000000000 52.0000000000 52.0000000000
2752 53.0000000000 53.0000000000 53.0000000000 53.0000000000
2835 54.0000000000 54.0000000000 54.0000000000 54.0000000000
3029 55.0000000000 55.0000000000 55.0000000000 55.0000000000
3082 58.0000000000 58.0000000000 58.0000000000 58.0000000000
3204 59.0000000000 59.0000000000 59.0000000000 59.0000000000
3279 61.0000000000 61.0000000000 61.0000000000 61.0000000000
3564 62.0000000000 62.0000000000 62.0000000000 62.0000000000
3714 65.0000000000 65.0000000000 65.0000000000 65.0000000000
3876 67.0000000000 67.0000000000 67.0000000000 67.0000000000
4050 69.0000000000 69.0000000000 69.0000000000 69.0000000000
4206 70.0000000000 70.0000000000 70.0000000000 70.0000000000
4262 71.0000000000 71.0000000000 71.0000000000 71.0000000000
4373 72.0000000000 72.0000000000 72.0000000000 72.0000000000
4670 74.0000000000 74.0000000000 74.0000000000 74.0000000000
4707 75.0000000000 75.0000000000 75.0000000000 75.0000000000
4948 77.0000000000 77.0000000000 77.0000000000 77.0000000000
5010 78.0000000000 78.0000000000 78.0000000000 78.0000000000
5690 79.0000000000 79.0000000000 79.0000000000 79.0000000000
5697 81.0000000000 81.0000000000 81.0000000000 81.0000000000
5911 82.0000000000 82.0000000000 82.0000000000 82.0000000000
5916 83.0000000000 83.0000000000 83.0000000000 83.0000000000
6091 85.0000000000 85.0000000000 85.0000000000 85.0000000000
6156 87.0000000000 87.0000000000 87.0000000000 87.0000000000
6321 88.0000000000 88.0000000000 88.0000000000 88.0000000000
6921 90.0000000000 90.0000000000 90.0000000000 90.0000000000
7158 91.0000000000 91.0000000000 91.0000000000 91.0000000000
7789 96.0000000000 96.0000000000 96.0000000000 96.0000000000
7982 97.0000000000 97.0000000000 97.0000000000 97.0000000000
8831 99.0000000000 99.0000000000 99.0000000000 99.0000000000
8882 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 100.0000000000 100.0000000000 100.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 5.0000000000 5.0000000000 5.0000000000 5.0000000000
59 9.0000000000 9.0000000000 9.0000000000 9.0000000000
275 11.0000000000 11.0000000000 11.0000000000 11.0000000000
368 15.0000000000 15.0000000000 15.0000000000 15.0000000000
435 18.0000000000 18.0000000000 18.0000000000 18.0000000000
477 19.0000000000 19.0000000000 19.0000000000 19.0000000000
547 20.0000000000 20.0000000000 20.0000000000 20.0000000000
