"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
29 1.5812776724 1.5812776724 1.5812776724 1.5812776724
31 1.6857720836 1.6857720836 1.6857720836 1.6857720836
40 1.7743080199 1.7743080199 1.7743080199 1.7743080199
44 1.8896447468 1.8896447468 1.8896447468 1.8896447468
46 1.9516003123 1.9516003123 1.9516003123 1.9516003123
48 2.2502250225 2.2502250225 2.2502250225 2.2502250225
56 2.4582104228 2.4582104228 2.4582104228 2.4582104228
58 2.5853154085 2.5853154085 2.5853154085 2.5853154085
91 2.6910656620 2.6910656620 2.6910656620 2.6910656620
113 2.7932960894 2.7932960894 2.7932960894 2.7932960894
115 2.9446407538 2.9446407538 2.9446407538 2.9446407538
185 2.9797377831 2.9797377831 2.9797377831 2.9797377831
295 3.1685678074 3.1685678074 3.1685678074 3.1685678074
314 3.2258064516 3.2258064516 3.2258064516 3.2258064516
372 3.3200531208 3.3200531208 3.3200531208 3.3200531208
409 3.4013605442 3.4013605442 3.4013605442 3.4013605442
482 3.5663338088 3.5663338088 3.5663338088 3.5663338088
561 3.5971223022 3.5971223022 3.5971223022 3.5971223022
100001 2.8248587571 3.5971223022 2.8248587571 3.5971223022
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.1568718186 1.1568718186 1.1568718186 1.1568718186
6 1.1820330969 1.1820330969 1.1820330969 1.1820330969
8 1.2106537530 1.2106537530 1.2106537530 1.2106537530
9 1.2946659762 1.2946659762 1.2946659762 1.2946659762
12 1.5197568389 1.5197568389 1.5197568389 1.5197568389
14 1.6677785190 1.6677785190 1.6677785190 1.6677785190
15 1.7253278123 1.7253278123 1.7253278123 1.7253278123
22 1.9669551534 1.9669551534 1.9669551534 1.9669551534
28 2.1910604733 2.1910604733 2.1910604733 2.1910604733
33 2.2665457842 2.2665457842 2.2665457842 2.2665457842
36 2.3562676720 2.3562676720 2.3562676720 2.3562676720
44 2.7203482046 2.7203482046 2.7203482046 2.7203482046
48 2.7870680045 2.7870680045 2.7870680045 2.7870680045
54 3.0376670717 3.0376670717 3.0376670717 3.0376670717
175 3.1367628607 3.1367628607 3.1367628607 3.1367628607
510 3.1605562579 3.1605562579 3.1605562579 3.1605562579
639 3.2010243278 3.2010243278 3.2010243278 3.2010243278
665 3.2594524120 3.2594524120 3.2594524120 3.2594524120
837 3.3921302578 3.3921302578 3.3921302578 3.3921302578
880 3.5360678925 3.5360678925 3.5360678925 3.5360678925
917 3.6075036075 3.6075036075 3.6075036075 3.6075036075
1054 3.8639876352 3.8639876352 3.8639876352 3.8639876352
1101 3.9246467818 3.9246467818 3.9246467818 3.9246467818
100001 3.3647375505 3.9246467818 3.3647375505 3.9246467818
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.2013455070 1.2013455070 1.2013455070 1.2013455070
3 1.2333497780 1.2333497780 1.2333497780 1.2333497780
4 1.3520822066 1.3520822066 1.3520822066 1.3520822066
11 1.3564839935 1.3564839935 1.3564839935 1.3564839935
12 1.5309246785 1.5309246785 1.5309246785 1.5309246785
15 1.5518311608 1.5518311608 1.5518311608 1.5518311608
20 1.8587360595 1.8587360595 1.8587360595 1.8587360595
26 1.9485580670 1.9485580670 1.9485580670 1.9485580670
28 1.9577133908 1.9577133908 1.9577133908 1.9577133908
30 1.9857029388 1.9857029388 1.9857029388 1.9857029388
37 2.0885547201 2.0885547201 2.0885547201 2.0885547201
43 2.2999080037 2.2999080037 2.2999080037 2.2999080037
49 2.6014568158 2.6014568158 2.6014568158 2.6014568158
66 2.6068821689 2.6068821689 2.6068821689 2.6068821689
71 2.7502750275 2.7502750275 2.7502750275 2.7502750275
85 2.8058361392 2.8058361392 2.8058361392 2.8058361392
109 2.9171528588 2.9171528588 2.9171528588 2.9171528588
120 2.9515938607 2.9515938607 2.9515938607 2.9515938607
130 3.1525851198 3.1525851198 3.1525851198 3.1525851198
233 3.2425421530 3.2425421530 3.2425421530 3.2425421530
334 3.2509752926 3.2509752926 3.2509752926 3.2509752926
847 3.4770514604 3.4770514604 3.4770514604 3.4770514604
857 3.5663338088 3.5663338088 3.5663338088 3.5663338088
100001 3.2594524120 3.5663338088 3.2594524120 3.5663338088
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.2632642749 1.2632642749 1.2632642749 1.2632642749
4 1.3609145346 1.3609145346 1.3609145346 1.3609145346
9 1.4475969890 1.4475969890 1.4475969890 1.4475969890
13 1.6097875080 1.6097875080 1.6097875080 1.6097875080
19 1.7041581459 1.7041581459 1.7041581459 1.7041581459
25 1.8422991894 1.8422991894 1.8422991894 1.8422991894
26 1.8839487566 1.8839487566 1.8839487566 1.8839487566
27 1.9888623707 1.9888623707 1.9888623707 1.9888623707
34 2.0990764064 2.0990764064 2.0990764064 2.0990764064
51 2.1385799829 2.1385799829 2.1385799829 2.1385799829
52 2.2665457842 2.2665457842 2.2665457842 2.2665457842
62 2.3923444976 2.3923444976 2.3923444976 2.3923444976
103 2.5329280648 2.5329280648 2.5329280648 2.5329280648
139 2.6455026455 2.6455026455 2.6455026455 2.6455026455
148 2.6737967914 2.6737967914 2.6737967914 2.6737967914
152 2.7027027027 2.7027027027 2.7027027027 2.7027027027
153 2.8184892897 2.8184892897 2.8184892897 2.8184892897
187 2.9036004646 2.9036004646 2.9036004646 2.9036004646
188 2.9515938607 2.9515938607 2.9515938607 2.9515938607
189 3.2509752926 3.2509752926 3.2509752926 3.2509752926
205 3.3288948069 3.3288948069 3.3288948069 3.3288948069
229 3.3738191633 3.3738191633 3.3738191633 3.3738191633
234 3.5161744023 3.5161744023 3.5161744023 3.5161744023
100001 3.0303030303 3.5161744023 3.0303030303 3.5161744023
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.8098477486 0.8098477486 0.8098477486 0.8098477486
3 0.8750437522 0.8750437522 0.8750437522 0.8750437522
5 1.0369141435 1.0369141435 1.0369141435 1.0369141435
6 1.0624734382 1.0624734382 1.0624734382 1.0624734382
9 1.1165698973 1.1165698973 1.1165698973 1.1165698973
10 1.2696800406 1.2696800406 1.2696800406 1.2696800406
11 1.2735608762 1.2735608762 1.2735608762 1.2735608762
13 1.3178703216 1.3178703216 1.3178703216 1.3178703216
17 1.4889815366 1.4889815366 1.4889815366 1.4889815366
19 1.5812776724 1.5812776724 1.5812776724 1.5812776724
22 1.6077170418 1.6077170418 1.6077170418 1.6077170418
26 1.6567263088 1.6567263088 1.6567263088 1.6567263088
29 1.6857720836 1.6857720836 1.6857720836 1.6857720836
31 1.7895490336 1.7895490336 1.7895490336 1.7895490336
32 1.8341892883 1.8341892883 1.8341892883 1.8341892883
37 1.8925056775 1.8925056775 1.8925056775 1.8925056775
38 2.0441537204 2.0441537204 2.0441537204 2.0441537204
45 2.2301516503 2.2301516503 2.2301516503 2.2301516503
53 2.2914757104 2.2914757104 2.2914757104 2.2914757104
54 2.4108003857 2.4108003857 2.4108003857 2.4108003857
55 2.5329280648 2.5329280648 2.5329280648 2.5329280648
72 2.7746947836 2.7746947836 2.7746947836 2.7746947836
78 2.8441410694 2.8441410694 2.8441410694 2.8441410694
115 2.8768699655 2.8768699655 2.8768699655 2.8768699655
130 3.2938076416 3.2938076416 3.2938076416 3.2938076416
162 3.8520801233 3.8520801233 3.8520801233 3.8520801233
199 4.0916530278 4.0916530278 4.0916530278 4.0916530278
100001 3.4674063800 4.0916530278 3.4674063800 4.0916530278
