"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
787 4.0000000000 4.0000000000 4.0000000000 4.0000000000
2348 4.0257648953 4.0257648953 4.0257648953 4.0257648953
2479 4.0387722132 4.0387722132 4.0387722132 4.0387722132
34372 4.0650406504 4.0650406504 4.0650406504 4.0650406504
100001 2.8312570781 4.0650406504 2.8312570781 4.0650406504
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.0499790004 1.0499790004 1.0499790004 1.0499790004
6 1.1125945705 1.1125945705 1.1125945705 1.1125945705
7 1.1286681716 1.1286681716 1.1286681716 1.1286681716
8 1.3668671405 1.3668671405 1.3668671405 1.3668671405
9 1.4359563469 1.4359563469 1.4359563469 1.4359563469
11 1.6118633140 1.6118633140 1.6118633140 1.6118633140
12 1.7158544955 1.7158544955 1.7158544955 1.7158544955
17 1.8726591760 1.8726591760 1.8726591760 1.8726591760
32 1.8982536067 1.8982536067 1.8982536067 1.8982536067
39 2.0048115477 2.0048115477 2.0048115477 2.0048115477
49 2.2301516503 2.2301516503 2.2301516503 2.2301516503
54 2.5278058645 2.5278058645 2.5278058645 2.5278058645
87 2.6852846402 2.6852846402 2.6852846402 2.6852846402
104 2.8506271380 2.8506271380 2.8506271380 2.8506271380
204 3.0826140567 3.0826140567 3.0826140567 3.0826140567
205 3.1367628607 3.1367628607 3.1367628607 3.1367628607
287 3.3647375505 3.3647375505 3.3647375505 3.3647375505
495 3.5063113604 3.5063113604 3.5063113604 3.5063113604
547 3.5765379113 3.5765379113 3.5765379113 3.5765379113
609 3.6284470247 3.6284470247 3.6284470247 3.6284470247
661 3.6818851252 3.6818851252 3.6818851252 3.6818851252
739 3.6927621861 3.6927621861 3.6927621861 3.6927621861
970 3.9123630673 3.9123630673 3.9123630673 3.9123630673
1205 3.9494470774 3.9494470774 3.9494470774 3.9494470774
1467 3.9619651347 3.9619651347 3.9619651347 3.9619651347
1487 4.0518638574 4.0518638574 4.0518638574 4.0518638574
2449 4.1736227045 4.1736227045 4.1736227045 4.1736227045
100001 4.1736227045 4.1736227045 4.1736227045 4.1736227045
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 0.6444960041 0.6444960041 0.6444960041 0.6444960041
4 0.7048209755 0.7048209755 0.7048209755 0.7048209755
7 0.7295010213 0.7295010213 0.7295010213 0.7295010213
13 0.8594018563 0.8594018563 0.8594018563 0.8594018563
15 1.0921799913 1.0921799913 1.0921799913 1.0921799913
16 1.2906556531 1.2906556531 1.2906556531 1.2906556531
21 1.3550135501 1.3550135501 1.3550135501 1.3550135501
27 1.3623978202 1.3623978202 1.3623978202 1.3623978202
28 1.5733165513 1.5733165513 1.5733165513 1.5733165513
29 1.7921146953 1.7921146953 1.7921146953 1.7921146953
33 1.8315018315 1.8315018315 1.8315018315 1.8315018315
69 1.9098548510 1.9098548510 1.9098548510 1.9098548510
72 1.9305019305 1.9305019305 1.9305019305 1.9305019305
78 1.9516003123 1.9516003123 1.9516003123 1.9516003123
83 2.0990764064 2.0990764064 2.0990764064 2.0990764064
101 2.1385799829 2.1385799829 2.1385799829 2.1385799829
111 2.1720243267 2.1720243267 2.1720243267 2.1720243267
129 2.2065313327 2.2065313327 2.2065313327 2.2065313327
136 2.3696682464 2.3696682464 2.3696682464 2.3696682464
157 2.5176233635 2.5176233635 2.5176233635 2.5176233635
166 2.6288117771 2.6288117771 2.6288117771 2.6288117771
187 2.6567481403 2.6567481403 2.6567481403 2.6567481403
278 2.9377203290 2.9377203290 2.9377203290 2.9377203290
288 2.9726516052 2.9726516052 2.9726516052 2.9726516052
296 3.0084235860 3.0084235860 3.0084235860 3.0084235860
379 3.0303030303 3.0303030303 3.0303030303 3.0303030303
407 3.1685678074 3.1685678074 3.1685678074 3.1685678074
435 3.2425421530 3.2425421530 3.2425421530 3.2425421530
698 3.2851511170 3.2851511170 3.2851511170 3.2851511170
709 3.2938076416 3.2938076416 3.2938076416 3.2938076416
1045 3.3025099075 3.3025099075 3.3025099075 3.3025099075
1067 3.4199726402 3.4199726402 3.4199726402 3.4199726402
1074 3.6927621861 3.6927621861 3.6927621861 3.6927621861
1411 3.8167938931 3.8167938931 3.8167938931 3.8167938931
32624 3.9872408293 3.9872408293 3.9872408293 3.9872408293
100001 3.5260930889 3.9872408293 3.5260930889 3.9872408293
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1.1611704598 1.1611704598 1.1611704598 1.1611704598
4 1.2658227848 1.2658227848 1.2658227848 1.2658227848
5 1.3000520021 1.3000520021 1.3000520021 1.3000520021
7 1.3520822066 1.3520822066 1.3520822066 1.3520822066
9 1.4409221902 1.4409221902 1.4409221902 1.4409221902
39 1.4697236919 1.4697236919 1.4697236919 1.4697236919
44 1.7277125086 1.7277125086 1.7277125086 1.7277125086
49 1.7543859649 1.7543859649 1.7543859649 1.7543859649
67 1.8234865062 1.8234865062 1.8234865062 1.8234865062
76 2.0112630732 2.0112630732 2.0112630732 2.0112630732
93 2.0542317173 2.0542317173 2.0542317173 2.0542317173
105 2.1061499579 2.1061499579 2.1061499579 2.1061499579
118 2.1097046414 2.1097046414 2.1097046414 2.1097046414
133 2.1349274125 2.1349274125 2.1349274125 2.1349274125
153 2.1910604733 2.1910604733 2.1910604733 2.1910604733
159 2.2261798753 2.2261798753 2.2261798753 2.2261798753
168 2.3041474654 2.3041474654 2.3041474654 2.3041474654
177 2.3386342376 2.3386342376 2.3386342376 2.3386342376
188 2.3607176582 2.3607176582 2.3607176582 2.3607176582
208 2.3832221163 2.3832221163 2.3832221163 2.3832221163
209 2.6968716289 2.6968716289 2.6968716289 2.6968716289
218 3.4013605442 3.4013605442 3.4013605442 3.4013605442
453 3.5460992908 3.5460992908 3.5460992908 3.5460992908
49135 3.5663338088 3.5663338088 3.5663338088 3.5663338088
49215 3.5765379113 3.5765379113 3.5765379113 3.5765379113
49283 3.7369207773 3.7369207773 3.7369207773 3.7369207773
50816 3.9872408293 3.9872408293 3.9872408293 3.9872408293
100001 2.9726516052 3.9872408293 2.9726516052 3.9872408293
