"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
3316 66.0000000000 66.0000000000 66.0000000000 66.0000000000
3329 67.0000000000 67.0000000000 67.0000000000 67.0000000000
3346 69.0000000000 69.0000000000 69.0000000000 69.0000000000
3482 71.0000000000 71.0000000000 71.0000000000 71.0000000000
3595 73.0000000000 73.0000000000 73.0000000000 73.0000000000
3695 74.0000000000 74.0000000000 74.0000000000 74.0000000000
3729 75.0000000000 75.0000000000 75.0000000000 75.0000000000
3832 78.0000000000 78.0000000000 78.0000000000 78.0000000000
3868 80.0000000000 80.0000000000 80.0000000000 80.0000000000
4033 83.0000000000 83.0000000000 83.0000000000 83.0000000000
4242 85.0000000000 85.0000000000 85.0000000000 85.0000000000
4429 88.0000000000 88.0000000000 88.0000000000 88.0000000000
4517 90.0000000000 90.0000000000 90.0000000000 90.0000000000
4547 92.0000000000 92.0000000000 92.0000000000 92.0000000000
4629 96.0000000000 96.0000000000 96.0000000000 96.0000000000
4689 99.0000000000 99.0000000000 99.0000000000 99.0000000000
4883 100.0000000000 100.0000000000 100.0000000000 100.0000000000
100001 43.0000000000 100.0000000000 43.0000000000 100.0000000000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2.0000000000 2.0000000000 2.0000000000 2.0000000000
25 4.0000000000 4.0000000000 4.0000000000 4.0000000000
37 5.0000000000 5.0000000000 5.0000000000 5.0000000000
102 8.0000000000 8.0000000000 8.0000000000 8.0000000000
206 9.0000000000 9.0000000000 9.0000000000 9.0000000000
442 13.0000000000 13.0000000000 13.0000000000 13.0000000000
452 14.0000000000 14.0000000000 14.0000000000 14.0000000000
548 17.0000000000 17.0000000000 17.0000000000 17.0000000000
621 19.0000000000 19.0000000000 19.0000000000 19.0000000000
643 21.0000000000 21.0000000000 21.0000000000 21.0000000000
718 28.0000000000 28.0000000000 28.0000000000 28.0000000000
819 30.0000000000 30.0000000000 30.0000000000 30.0000000000
824 32.0000000000 32.0000000000 32.0000000000 32.0000000000
963 33.0000000000 33.0000000000 33.0000000000 33.0000000000
982 40.0000000000 40.0000000000 40.0000000000 40.0000000000
1233 42.0000000000 42.0000000000 42.0000000000 42.0000000000
1298 44.0000000000 44.0000000000 44.0000000000 44.0000000000
1356 47.0000000000 47.0000000000 47.0000000000 47.0000000000
1468 48.0000000000 48.0000000000 48.0000000000 48.0000000000
1488 49.0000000000 49.0000000000 49.0000000000 49.0000000000
1757 51.0000000000 51.0000000000 51.0000000000 51.0000000000
1882 52.0000000000 52.0000000000 52.0000000000 52.0000000000
1913 58.0000000000 58.0000000000 58.0000000000 58.0000000000
2052 60.0000000000 60.0000000000 60.0000000000 60.0000000000
2103 63.0000000000 63.0000000000 63.0000000000 63.0000000000
2158 64.0000000000 64.0000000000 64.0000000000 64.0000000000
2191 66.0000000000 66.0000000000 66.0000000000 66.0000000000
2362 67.0000000000 67.0000000000 67.0000000000 67.0000000000
2584 69.0000000000 69.0000000000 69.0000000000 69.0000000000
2590 70.0000000000 70.0000000000 70.0000000000 70.0000000000
2620 71.0000000000 71.0000000000 71.0000000000 71.0000000000
2625 72.0000000000 72.0000000000 72.0000000000 72.0000000000
2700 73.0000000000 73.0000000000 73.0000000000 73.0000000000
2991 75.0000000000 75.0000000000 75.0000000000 75.0000000000
2998 77.0000000000 77.0000000000 77.0000000000 77.0000000000
3101 79.0000000000 79.0000000000 79.0000000000 79.0000000000
3126 82.0000000000 82.0000000000 82.0000000000 82.0000000000
3132 84.0000000000 84.0000000000 84.0000000000 84.0000000000
